x,y
45,40
7,18
5,25
5,43
21,5
26,31
21,40
21,11
31,32
43,33
36,15
43,9
45,41
7,17
5,26
5,44
21,6
26,30
22,40
22,11
32,32
43,32
36,14
42,9
46,41
6,17
5,27
5,45
22,6
25,30
22,39
23,11
32,31
44,32
36,13
42,8
46,42
5,17
5,28
4,45
22,5
25,29
21,39
24,11
33,31
45,32
36,12
42,7
45,42
4,17
6,28
4,44
22,4
26,29
20,39
25,11
34,31
37,12
41,7
45,43
3,17
7,28
4,43
22,3
27,29
20,38
25,12
35,31
38,12
40,7
45,44
3,16
8,28
3,43
22,2
27,30
21,38
24,12
36,31
38,11
39,7
46,44
3,15
9,28
3,42
21,2
22,38
24,13
37,31
38,10
39,6
3,14
9,29
4,42
21,3
22,37
25,13
37,30
40,6
3,13
9,30
4,41
20,3
23,37
25,14
37,29
41,6
2,13
9,31
3,41
20,2
23,36
24,14
37,28
42,6
2,12
8,31
3,40
19,2
22,36
24,15
36,28
42,5
1,12
8,32
3,39
19,1
21,36
24,16
36,29
43,5
1,11
9,32
4,39
20,1
21,37
25,16
36,30
44,5
1,10
10,32
4,38
20,0
20,37
26,16
35,30
44,4
2,10
11,32
5,38
19,0
20,36
26,15
35,29
44,3
2,11
11,31
5,37
18,0
20,35
27,15
35,28
43,3
3,11
10,31
5,36
18,1
20,34
28,15
34,28
43,4
4,11
10,30
6,36
17,1
20,33
29,15
34,27
42,4
10,29
6,35
17,0
19,33
29,14
35,27
42,3
11,29
6,34
16,0
19,32
28,14
35,26
42,2
12,29
6,33
15,0
20,32
28,13
35,25
12,28
6,32
15,1
20,31
29,13
36,25
13,28
6,31
14,1
21,31
30,13
37,25
13,27
5,31
14,0
21,32
30,14
38,25
13,26
5,32
13,0
21,33
30,15
38,26
14,26
5,33
12,0
21,34
30,16
14,25
4,33
11,0
21,35
29,16
4,32
10,0
22,35
28,16
4,31
10,1
23,35
28,17
3,31
9,1
23,34
29,17
3,32
8,1
23,33
29,18
3,33
8,2
24,33
30,18
2,33
9,2
24,34
30,17
1,33
9,3
25,34
31,17
0,33
9,4
25,33
32,17
0,32
9,5
26,33
32,16
0,31
8,5
26,34
31,16
0,30
8,6
27,34
31,15
0,29
9,6
27,33
31,14
1,29
9,7
27,32
31,13
1,28
9,8
27,31
32,13
2,28
10,8
11,8
28,31
33,13
2,29
28,30
33,12
2,30
28,29
34,12
3,30
29,29
34,13
4,30
30,29
35,13
5,30
30,30
35,12
5,29
31,30
35,11
6,29
31,29
36,11
7,29
32,29
37,11
8,29
33,29
37,10
8,30
33,28
36,10
7,30
33,27
35,10
7,31
33,26
35,9
7,32
33,25
34,9
7,33
33,24
34,10
7,34
34,24
34,11
8,34
34,23
33,11
9,34
33,23
33,10
9,33
33,22
33,9
10,33
34,22
33,8
11,33
34,21
33,7
12,33
35,21
34,7
12,32
35,22
34,6
12,31
35,23
34,5
13,31
36,23
33,5
13,32
36,22
32,5
13,33
37,22
31,5
14,33
38,22
31,4
14,34
38,23
31,3
15,34
37,23
31,2
